City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,sint michiel liber,12.15,-68.9833,27.900000000000034,83,20,6.17,CW,1690167195
306,weno,7.4515,151.8468,28.08000000000004,76,100,4.42,FM,1690167253
307,mercedes,-34.6515,-59.4307,9.360000000000014,59,100,5.48,AR,1690167253
308,jonesboro,35.8423,-90.7043,26.900000000000034,69,0,3.6,US,1690167051
309,saint-paul,-21.0096,55.2707,22.05000000000001,89,4,0.45,RE,1690167254
310,puerto baquerizo moreno,-0.9,-89.6,24.74000000000001,83,81,4.92,EC,1690167145
311,port saint john's,-31.6229,29.5448,15.129999999999995,69,72,6.87,ZA,1690167256
312,freetown,8.484,-13.2299,25.840000000000032,83,40,3.09,SL,1690167256
313,mariental,-24.6333,17.9667,11.79000000000002,15,21,3.55,NA,1690167256
314,kourou,5.1552,-52.6478,25.03000000000003,91,15,3.29,GF,1690167256
315,luderitz,-26.6481,15.1594,12.900000000000034,62,100,7.09,NA,1690167257
316,dryden,49.7833,-92.7503,18.160000000000025,55,0,2.06,CA,1690166992
317,meadow lake,34.8014,-106.5436,32.30000000000001,27,54,2.85,US,1690167160
318,mao,39.8885,4.2658,25.310000000000002,100,0,2.06,ES,1690167258
319,whitehorse,60.7161,-135.0538,14.430000000000007,94,100,5.14,CA,1690167258
320,cold lake,54.4502,-110.2017,22.970000000000027,73,40,2.57,CA,1690166961
321,makokou,0.5738,12.8642,20.30000000000001,98,79,1.82,GA,1690167259
322,wenchang,30.904,118.4887,31.980000000000018,66,0,1.26,CN,1690167259
323,capinota,-17.7167,-66.2333,18.670000000000016,69,0,0.73,BO,1690167259
324,chonchi,-42.6128,-73.8092,3.400000000000034,91,100,1.44,CL,1690167259
325,usagara,-2.6833,33.0,21.120000000000005,62,76,3.88,TZ,1690167260
326,san mateo del mar,16.2,-95.0,28.689999999999998,75,92,10.36,MX,1690167260
327,luanda,-8.8368,13.2343,21.0,94,100,1.54,AO,1690167131
